Line list produced by pgo v8.0.305 32 bit (Delphi 18.5/18)	8000305
Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
Mola	Ground	5	A	6	Ground	5	A	3	23426.5634053172	2.97589614258712E-7	84954.6632440444	61528.0998387272	0.00167132748318494	6.82112464327616E-11	0	sQ1,4(5)	Mola v=0  5  3  3 - v=0  5  1  4
Mola	Ground	5	A	5	Ground	5	A	4	330.412368383404	1.23276142564593E-6	69701.4027328714	69370.990364488	0.477242458195264	5.46482980973769E-14	0	qQ2,4(5)	Mola v=0  5  2  3 - v=0  5  2  4
Mola	Ground	5	A	9	Ground	5	A	4	37258.085313359	9.54954839165983E-8	106629.075677847	69370.990364488	0.000378627908092508	6.21645651213078E-11	0	sQ2,4(5)	Mola v=0  5  4  1 - v=0  5  2  4
Mola	Ground	5	A	8	Ground	5	A	5	36927.6069026407	9.58852878946397E-8	106629.009635512	69701.4027328714	0.000384107914799323	6.14009976664824E-11	0	sQ2,3(5)	Mola v=0  5  4  2 - v=0  5  2  3
Mola	Ground	5	A	7	Ground	5	A	6	8.16178104266874	6.18298646077629E-8	84962.8250250871	84954.6632440444	1.0962378363157	1.89203116660179E-18	0	qQ3,3(5)	Mola v=0  5  3  2 - v=0  5  3  3
Mola	Ground	5	A	11	Ground	5	A	6	49554.4118921413	2.53088113949046E-8	134509.075136186	84954.6632440444	8.95155793130176E-5	3.45791477270493E-11	0	sQ3,3(5)	Mola v=0  5  5  0 - v=0  5  3  3
Mola	Ground	5	A	10	Ground	5	A	7	49546.2499444654	2.53075039158651E-8	134509.074969553	84962.8250250871	8.95288151647985E-5	3.45671746577906E-11	0	sQ3,2(5)	Mola v=0  5  5  1 - v=0  5  3  2
Mola	Ground	5	A	9	Ground	5	A	8	0.0660423349036137	7.49865065490287E-10	106629.075677847	106629.009635512	1.95402715159921	1.78676127375974E-24	0	qQ4,2(5)	Mola v=0  5  4  1 - v=0  5  4  2
Mola	Ground	6	A	1	Ground	5	A	1	22483.9651006472	0.000353943630237049	79153.4866899289	56669.5215892818	1.98494587339301	6.0601781114892E-8	0	qR0,5(5)	Mola v=0  6  0  6 - v=0  5  0  5
Mola	Ground	6	A	5	Ground	5	A	1	36104.2095194446	2.55615123876217E-6	92773.7311087264	56669.5215892818	0.00940698070316873	1.18916409488981E-9	0	sR0,5(5)	Mola v=0  6  2  4 - v=0  5  0  5
Mola	Ground	6	A	9	Ground	5	A	1	72792.6126020052	2.52586648649511E-9	129462.134191287	56669.5215892818	5.28274374671855E-6	5.4731768036772E-12	0	uR0,5(5)	Mola v=0  6  4  2 - v=0  5  0  5
Mola	Ground	6	A	2	Ground	5	A	2	22130.4628513219	0.000336243487451121	80666.724637725	58536.2617864031	1.94195786180131	5.65365503192008E-8	0	qR1,5(5)	Mola v=0  6  1  6 - v=0  5  1  5
Mola	Ground	6	A	6	Ground	5	A	2	49263.738213597	4.91510293214199E-7	107800	58536.2617864031	0.00141406800113752	4.5411975848579E-10	0	sR1,5(5)	Mola v=0  6  3  4 - v=0  5  1  5
Mola	Ground	6	A	3	Ground	5	A	3	23314.246617908	0.000344064351812935	84842.3464566352	61528.0998387272	1.94080387656443	6.60638412000867E-8	0	qR1,4(5)	Mola v=0  6  1  5 - v=0  5  1  4
Mola	Ground	6	A	7	Ground	5	A	3	46296.27651065	7.34184337077445E-7	107824.376349377	61528.0998387272	0.00227661962884148	6.06801545113257E-10	0	sR1,4(5)	Mola v=0  6  3  3 - v=0  5  1  4
Mola	Ground	6	A	4	Ground	5	A	4	22756.5571535558	0.000289319566594021	92127.5475180438	69370.990364488	1.77639842877257	5.62312926294566E-8	0	qR2,4(5)	Mola v=0  6  2  5 - v=0  5  2  4
Mola	Ground	6	A	8	Ground	5	A	4	60090.8141109595	3.21290220161345E-7	129461.804475447	69370.990364488	0.000860263396009985	5.01387751242286E-10	0	sR2,4(5)	Mola v=0  6  4  3 - v=0  5  2  4
Mola	Ground	6	A	1	Ground	5	A	5	9452.08395705756	3.18073491822893E-7	79153.4866899289	69701.4027328714	0.00447511492543225	1.01509085873183E-11	0	oR2,3(5)	Mola v=0  6  0  6 - v=0  5  2  3
Mola	Ground	6	A	5	Ground	5	A	5	23072.328375855	0.000292391280445943	92773.7311087264	69701.4027328714	1.77754921626893	5.8642694766382E-8	0	qR2,3(5)	Mola v=0  6  2  4 - v=0  5  2  3
Mola	Ground	6	A	9	Ground	5	A	5	59760.7314584156	3.23672820599627E-7	129462.134191287	69701.4027328714	0.000872674826756469	5.00285797809426E-10	0	sR2,3(5)	Mola v=0  6  4  2 - v=0  5  2  3
Mola	Ground	6	A	6	Ground	5	A	6	22845.3367559557	0.000216462020203155	107800	84954.6632440444	1.50015966045725	4.80449989246122E-8	0	qR3,3(5)	Mola v=0  6  3  4 - v=0  5  3  3
Mola	Ground	6	A	10	Ground	5	A	6	72378.6121182306	1.6988917522358E-7	157333.275362275	84954.6632440444	0.000447403306183142	4.55667395723707E-10	0	sR3,3(5)	Mola v=0  6  5  2 - v=0  5  3  3
Mola	Ground	6	A	7	Ground	5	A	7	22861.5513242901	0.000216588424705797	107824.376349377	84962.8250250871	1.50016332344125	4.81474894981428E-8	0	qR3,2(5)	Mola v=0  6  3  3 - v=0  5  3  2
Mola	Ground	6	A	11	Ground	5	A	7	72370.4521689006	1.69889033396293E-7	157333.277193988	84962.8250250871	0.000447469388908507	4.55580578156165E-10	0	sR3,2(5)	Mola v=0  6  5  1 - v=0  5  3  2
Mola	Ground	6	A	8	Ground	5	A	8	22832.7948399354	0.000134767962777359	129461.804475447	106629.009635512	1.1113537758404	3.55342836558704E-8	0	qR4,2(5)	Mola v=0  6  4  3 - v=0  5  4  2
Mola	Ground	6	A	12	Ground	5	A	8	84781.6383709968	6.8298272603806E-8	191410.648006509	106629.009635512	0.00019091721068649	3.12513301941707E-10	0	sR4,2(5)	Mola v=0  6  6  1 - v=0  5  4  2
Mola	Ground	6	A	9	Ground	5	A	9	22833.05851344	0.000134769310936248	129462.134191287	106629.075677847	1.11135378279512	3.55355149440064E-8	0	qR4,1(5)	Mola v=0  6  4  2 - v=0  5  4  1
